# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y, y_hat
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0, 0, 0.0004, 7.83798e-05, 7.43142e-05
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.419366, 0.0004, 0.000464861, 0.000746395
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.5, 0.419366, 0.0004, 0.00051044, 0.000825655
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, 0.0004, 0.0002476, 0.000368584
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0004, 0.000614211, -0.000445089
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0195549, 0.000615895, -0.000442367
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0195576, 0.000424815, -0.000281743
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0130516, 0.00103266, 0.000231341
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.419366, 0.0202313, -0.000981894, -0.000208173
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.419366, -0.0202082, 0.000839997, 0.0003894
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0137227, 0.000996329, 0.000172608
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0201726, 0.00109548, 0.000332882
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0203329, 0.000815662, 0.000350063
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0136834, 0.00112895, 0.000433237
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.419366, 0.0197765, 0.000965286, 0.000122426
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.419366, 0.0201224, 0.000727935, 0.00030369
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0122819, 0.00112695, 0.00038375
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.419366, 0.0203838, 0.000872946, -2.68422e-05
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 0.419366, 0.0199732, 0.000631759, 5.27823e-05
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.0133861, 0.00111962, 0.000460205
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.419366, 0.0192065, 0.00080968, -0.000129112
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 0.419366, 0.0198709, 0.000816128, 0.000350816
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0136841, 0.000787297, 0.000311524
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.419366, 0.013541, 0.000842292, 0.00039311
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 0.419366, 0.0137264, 0.000624344, 0.0003945
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.419366, 0.00870545, 0.000863313, 0.00042709
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.419366, 0.0137604, 0.000531959, -0.000108545
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 0.419366, 0.0132248, 0.000192496, 0.000136928
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.419366, 0.00219288, 0.000795285, 0.000317123
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0.419366, 0.0136505, 0.000618375, 3.11472e-05
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 0.419366, 0.0133645, 0.000475145, 0.000112617
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.419366, 0.00900151, 0.00108051, 0.00029757
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.419366, 0.0204555, 0.00133997, 0.00072811
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.419366, 0.0207281, 0.000511045, 0.000327152
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.419366, 0.00699382, 0.00020901, -0.000630593
5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, 0.0127027, 0.00080303, 0.000329642
5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.419366, 0.013663, 0.00110157, -1.17917e-05
5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.419366, 0.0250222, 0.000926939, -0.000409068
6, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.419366, 0.0262576, 0.00101409, -0.000268184
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.419366, 0.0263985, 0.000669777, -0.000198764
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0.419366, 0.017579, 0.000664925, -0.000206607
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0.419366, 0.0175712, 0.000699776, -0.000150271
6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0.419366, 0.0176275, 0.000459507, -0.000225665
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.419366, 0.0131077, 0.000310394, 2.79763e-06
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.419366, 0.00666946, -0.000977167, -0.00207855
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.419366, 0.00458812, 0.00103984, 0.000712454
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.419366, 0.0140458, -0.00106094, -0.000875213
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, -0.013218, -6.04783e-05, -0.00106622
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, 0.0122671, -0.000455655, -0.00123552
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.419366, 0.00543114, -0.00132001, -0.00263276
7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.419366, 0.00403391, 0.00112154, 0.000844513
7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, 0.0141778, -0.000557431, -0.0013708
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.00488065, -0.000376052, -0.00105539
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0.419366, 0.00488065, -0.000983056, -0.00114906
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.419366, -0.00781573, -0.00174826, -0.00238602
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.419366, -0.00905269, -0.000130309, 0.000698913
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.419366, -0.0126344, 0.000112913, -0.000529125
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.00915768, -0.000312633, -0.00126914
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, 0.00915768, -0.000117592, -0.000689044
8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.419366, 0.00597762, -0.000752785, -0.00171584
8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.419366, 0.00495083, 0.000705929, 0.000502114
8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, 0.00915768, -0.000768736, -0.000609429
8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, -0.0100192, -0.00113739, -0.0012505
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 1.11022e-15, 0.419366, -0.0100192, -0.000936695, -0.00107412
9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.419366, -0.00774078, -0.00126529, -0.00160529
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.419366, -0.00827196, -0.000326357, 0.000382001
9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.419366, -0.0129513, -0.000542218, -0.00131249
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, 0.00446013, -0.000677745, -0.00154817
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, 0.00446013, -0.0003195, -0.000925189
9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.419366, 0.00446013, -0.00103982, -0.0021778
9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.419366, 0.00446013, 0.000375539, 0.000283466
9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, 0.00446013, -0.000473236, -0.00173345
9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.0115999, -0.000393107, -0.00160392
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.419366, 0.0117294, -0.00065706, -0.0015611
10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.419366, 0.00510557, -0.000468121, -0.00125567
10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.419366, 0.00541099, 0.000614546, 2.49567e-05
10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.419366, 0.0133583, -0.000830375, -0.000823937
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, -0.00860263, -0.00114587, -0.00137257
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, -0.00860263, -0.00106438, -0.00128052
10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.419366, -0.00794719, -0.000945892, -0.00108899
10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.419366, -0.00775565, -8.42809e-05, 0.000773318
10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, -0.01256, -0.000599014, -0.00109505
10, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.000286477, -0.000447808, -0.000832113
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.419366, 0.000286477, -0.000594625, -0.00108742
11, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.419366, 0.000286477, -0.00107163, -0.00191693
11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 0.419366, 0.000286477, 0.000456201, 0.000739936
11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.419366, 0.000286477, -0.000731506, -0.000748134
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.419366, -0.0073338, -0.000955463, -0.00113759
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, -0.0073338, -0.000893129, -0.00100369
11, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.419366, -0.00767036, -0.0012167, -0.0015619
11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 0.419366, -0.0077295, -3.1378e-05, 0.000499349
11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.419366, -0.0077295, -0.000802028, -0.00160344
11, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.419366, 0.00233703, -0.00089648, -0.00170867
12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, -1.4803e-15, 0.419366, 0.00155802, -0.000915041, -0.00119562
12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.0833333, 0.419366, -0.00564006, -0.00136643, -0.00192528
12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.125, 0.419366, -0.00636973, 0.000151206, 0.00084098
12, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.166667, 0.419366, -0.00804791, -0.000566292, -0.000511775
12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.419366, -0.00666138, -0.000892647, -0.0010793
12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.333333, 0.419366, -0.00666138, -0.000634886, -0.000742744
12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.416667, 0.419366, -0.00518719, -0.0013296, -0.00188975
12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.458333, 0.419366, -0.00599348, 0.000302142, 0.000947808
12, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.5, 0.419366, -0.00599348, -0.000663892, -0.00153448
12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.419366, 0.0045974, -0.000610776, -0.00144211
12, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.666667, 0.419366, 0.0045974, -0.000994357, -0.00158038
12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.75, 0.419366, -0.00238196, -0.0016505, -0.00272139
12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1.5, 0.791667, 0.419366, -0.00238196, 0.000225906, 0.000541624
12, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.833333, 0.419366, -0.00238196, -0.000939736, -0.00111537
12, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.419366, -0.00726605, -0.00107337, -0.00107251
13, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, -2.22045e-15, 0.419366, -0.0108991, 0.000521624, -0.000594756
13, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.419366, 0.0194052, 6.11678e-05, -0.000400077
13, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.419366, 0.00626659, 1.1576e-05, -0.000949747
13, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.419366, 0.0123836, 0.000583791, -2.4758e-05
13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.419366, 0.0133086, -0.000220182, -0.00054884
13, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.419366, 0.00177225, -0.00123027, -0.000140164
14, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, -4.44089e-15, 0.419366, -0.0268068, -0.00096485, 0.000288883
14, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.419366, -0.0263778, 0.00111096, 0.000514418
14, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0.419366, 0.0182922, 0.000773154, -3.16553e-05
14, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0.419366, 0.0177461, -0.000774412, -0.000200265
14, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0.419366, -0.0155502, -0.000840382, -0.000308439
15, 0, 1, 0, 0, 0, 0, 0, 1, 0, 214.285, 140, 1, -4.14484e-15, 0.419366, -0.0156366, 0.000147095, -0.000167972
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.125, 0.419366, 0.00517526, 4.54536e-05, -0.000344723
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.25, 0.419366, 0.00517526, 0.000142518, -0.00017593
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.375, 0.419366, 0.00517526, -8.95919e-05, -0.000579563
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.5, 0.419366, 0.00517526, -4.21878e-05, -0.000497129
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.625, 0.419366, 0.00517526, 1.10989e-05, -0.000404465
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.75, 0.419366, 0.00517526, -0.000129574, -0.000649091
15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.875, 0.419366, 0.00517526, -8.24789e-05, -0.000567194
16, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, -4.14484e-15, 0.419366, 0.00517526, -0.000150811, -0.000686021
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.125, 0.419366, 0.00517526, -9.90475e-05, -0.000596006
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.25, 0.419366, 0.00517526, 0.000248334, 8.08064e-06
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.375, 0.419366, 0.00517526, 0.000537322, -0.000238809
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.5, 0.419366, 0.0150673, 0.000283121, -0.000649727
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.625, 0.419366, 0.0146564, 0.000582655, -0.000165527
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.75, 0.419366, 0.0151406, 0.00042479, -0.000420718
16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.875, 0.419366, 0.0148854, 0.000735402, 8.13886e-05
17, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, -4.14484e-15, 0.419366, 0.0153875, 0.000616636, -0.000110597
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.125, 0.419366, 0.0151955, 0.000428643, -0.000414489
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.25, 0.419366, 0.0148916, 0.000595754, -0.000144352
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.375, 0.419366, 0.0151617, 0.000613343, -0.00011592
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.5, 0.419366, 0.0151902, 0.000573006, -0.000181125
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.625, 0.419366, 0.015125, 0.000467172, -0.000352206
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.75, 0.419366, 0.0149539, 0.000580538, -0.00016895
17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.875, 0.419366, 0.0151371, 0.000535276, -0.000242116
18, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, -2.07242e-15, 0.419366, 0.015064, 0.000663709, -3.45042e-05
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.125, 0.419366, 0.0152716, 0.000620671, -0.000104075
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.25, 0.419366, 0.015202, 0.000485637, -0.000322358
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.375, 0.419366, 0.0149837, 0.000616583, -0.000110682
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.5, 0.419366, 0.0151954, 0.000341689, -0.000555051
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.625, 0.419366, 0.014751, 0.000564367, -0.00019509
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.75, 0.419366, 0.015111, 0.000362563, -0.000521307
18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.875, 0.419366, 0.0147848, 0.000451298, -0.000377867
19, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0, 0.419366, 0.0149282, 0.000665112, -3.22349e-05
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.125, 0.419366, 0.0152739, 0.000385538, -0.000484168
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.25, 0.419366, 0.0148219, 0.000611088, -0.000119565
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.375, 0.419366, 0.0151865, 0.000505221, -0.0002907
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.5, 0.419366, 0.0150154, 0.00055607, -0.000208502
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.625, 0.419366, 0.0150976, 0.00044157, -0.000393593
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.75, 0.419366, 0.0149125, 0.000811091, 0.000203741
19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.875, 0.419366, 0.0155098, 0.000503576, -0.000293359
20, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0, 0.419366, 0.0150127, 0.000669602, -2.49774e-05
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.125, 0.419366, 0.0152811, 0.000783231, 0.000158704
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.25, 0.419366, 0.0154648, -0.000782113, -0.000215798
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.375, 0.419366, -0.0155219, -0.000623366, 4.08178e-05
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.5, 0.419366, -0.0152653, -0.000700285, -0.000227975
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.625, 0.419366, -0.0134829, -0.000651013, -0.000142291
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.75, 0.419366, -0.0134829, -0.000560767, 1.46433e-05
20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.875, 0.419366, -0.0134829, -0.00057555, -1.10648e-05
21, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0, 0.419366, -0.0134829, -0.000780532, -0.000367523
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.125, 0.419366, -0.0134829, -0.000731015, -0.000281413
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.25, 0.419366, -0.0134829, -0.000782631, -0.000371172
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.375, 0.419366, -0.0134829, -0.000666544, -0.0001693
21, 0, 1, 1, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.5, 0.419366, -0.0134829, -0.000845312, -0.000480173
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.286, 140, 1, 0.625, 0.419366, -0.0134829, -0.000659151, -0.000156444
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.75, 0.419366, -0.0134829, -0.000643979, -0.00013006
21, 0, 1, 0, 0, 0, 0, 0, 0, 0, 214.285, 140, 1, 0.875, 0.419366, -0.0134829, -0.000817805, -0.000432339
